Company,Symbol,Weight,Price
UnitedHealth Group Incorporated,UNH,10.637244,   522.99
Goldman Sachs Group Inc.,GS,7.395072,   385.00
Home Depot Inc.,HD,6.093003,   315.30
Amgen Inc.,AMGN,5.688562,   284.24
McDonald's Corporation,MCD,5.392806,   271.75
Microsoft Corporation,MSFT,4.749688,   247.10
Caterpillar Inc.,CAT,4.543851,   236.92
Honeywell International Inc.,HON,4.198835,   212.60
Visa Inc. Class A,V,4.018411,   205.00
Travelers Companies Inc.,TRV,3.583084,   181.73
Chevron Corporation,CVX,3.543989,   186.50
Boeing Company,BA,3.471272,   177.13
Johnson & Johnson,JNJ,3.410478,   169.05
Salesforce Inc.,CRM,3.055298,   157.63
American Express Company,AXP,3.024999,   154.59
Apple Inc.,AAPL,2.870963,   149.42
Walmart Inc.,WMT,2.782804,   142.50
International Business Machines Corporation,IBM,2.760715,   143.10
Procter & Gamble Company,PG,2.759737,   140.15
JPMorgan Chase & Co.,JPM,2.640496,   135.54
3M Company,MMM,2.524579,   133.05
Merck & Co. Inc.,MRK,1.99171,   97.96
NIKE Inc. Class B,NKE,1.944796,   105.71
Walt Disney Company,DIS,1.76828,   95.52
Coca-Cola Company,KO,1.190061,   61.35
Dow Inc.,DOW,0.976601,   53.34
Cisco Systems Inc.,CSCO,0.892546,   44.88
Verizon Communications Inc.,VZ,0.752976,   38.30
Walgreens Boots Alliance Inc.,WBA,0.752389,   41.35
Intel Corporation,INTC,0.581738,   30.33
